DAQ_time_end,VEventBit3,VEventBit2,VEventBit1,VEventBit0,VEventBit7,VEventBit6,VEventBit5,VEventBit4,run,VEventBit9,VEventBit8,fill,activeDetectors,lumi_seen,beamEnergy,beamType,VEventBit22,VEventBit23,VEventBit20,VEventBit21,VEventBit26,VEventBit27,VEventBit24,VEventBit25,VEventBit13,DAQ_time_start,VEventBit30,runDuration,VEventBit28,VEventBit29,partition,LHCBeamMode,VEventBit12,VEventBit11,VEventBit10,VEventBit17,VEventBit16,VEventBit15,VEventBit14,VEventBit19,VEventBit18,LHCperiod
1436387485.0,0,0,0,135336,0,0,135336,0,229405,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,94612,0,0,0,0,0,1436386856.0,0,629,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436388082.0,0,0,0,99802,0,0,99802,0,229408,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,71696,0,0,0,0,0,1436387566.0,0,516,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436389811.0,0,0,961430,640211,261321,0,1058809,0,229409,102679,16230,3976,ITSSPD ITSSDD ITSSSD TPC TOF HMPID FMD T0 VZERO AD TRD MUONTRK MUONTRG,9798.383690057535,6500.0,p-p,0,0,0,243030,0,0,0,0,0,1436387653.0,0,2158,0,0,PHYSICS_1,STABLE BEAMS,0,258665,0,0,0,0,0,0,0,LHC15g
1436391453.0,0,0,758409,478344,148439,0,837108,0,229410,58515,9144,3976,ITSSPD ITSSDD ITSSSD TPC TOF HMPID FMD T0 VZERO ACORDE AD TRD MUONTRK MUONTRG,5654.125607438699,6500.0,p-p,0,0,0,206159,0,0,0,0,0,1436390082.0,0,1371,0,0,PHYSICS_1,STABLE BEAMS,0,146193,0,0,0,0,0,0,0,LHC15g
1474774274.0,68586,0,1398327,0,0,1812,0,0,262399,7040,2816,5330,ITSSPD ITSSSD TPC TRD TOF HMPID PHOS CPV PMD FMD T0 VZERO ACORDE EMCAL AD ITSSDD MUONTRK MUONTRG,294.0121379268294,6499.0,p-p,27,0,0,759502,0,0,0,0,285,1474771900.0,0,2374,0,0,PHYSICS_1,STABLE BEAMS,0,39668,21269,0,11776,4481,236,0,0,LHC16o
1436396913.0,0,0,1148525,800829,0,0,1266074,0,229419,0,0,3976,ITSSDD TPC TOF HMPID FMD ACORDE AD TRD,0.0,6500.0,p-p,0,0,0,269864,0,0,0,0,0,1436393515.0,0,3398,0,0,PHYSICS_3,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1472969117.0,0,0,0,0,1355799,67035,0,0,260780,1001084,88171,5277,ITSSPD PHOS CPV T0 VZERO EMCAL MUONTRK MUONTRG,49139.82317461947,6499.0,p-p,798,0,0,0,0,0,0,0,383233,1472962390.0,0,6727,0,0,PHYSICS_1,STABLE BEAMS,0,797986,17979,0,0,6059694,0,0,0,LHC16n
1474784497.0,11969,0,404138,0,0,1788,0,0,262418,6387,2484,5331,ITSSPD ITSSSD TPC TRD TOF HMPID PHOS CPV FMD T0 VZERO ACORDE EMCAL AD ITSSDD MUONTRK MUONTRG,273.62457467212954,6500.0,p-p,34,0,0,197198,0,0,0,0,73,1474783763.0,0,734,0,0,PHYSICS_1,STABLE BEAMS,0,36629,5225,0,811,1134,53,0,0,LHC16o
1474786279.0,12060,0,408747,0,0,1581,0,0,262422,5440,2101,5331,ITSSPD ITSSSD TPC TRD TOF HMPID PHOS CPV FMD T0 VZERO ACORDE EMCAL AD ITSSDD MUONTRK MUONTRG,231.49386852522895,6500.0,p-p,18,0,0,199965,0,0,0,0,77,1474785615.0,0,664,0,0,PHYSICS_1,STABLE BEAMS,0,30945,5310,0,779,1151,46,0,0,LHC16o
1474788030.0,20973,0,696710,0,0,3851,0,0,262423,13270,5124,5331,ITSSPD ITSSSD TPC TRD TOF HMPID PHOS CPV FMD T0 VZERO ACORDE EMCAL AD ITSSDD MUONTRK MUONTRG,581.4813889341269,6499.0,p-p,39,0,0,340930,0,0,0,0,180,1474786414.0,0,1616,0,0,PHYSICS_1,STABLE BEAMS,0,74995,9003,0,1359,1942,101,0,0,LHC16o
