run, fill, bcs, bcsA, bcsC, bcsE, run_duration, mu, interactionRate, refCounts, lumi_seen, class_lMb, class_lMa, class_l0b, class_l0a, class_l1b, class_l1a, class_l2b, class_l2a, class_lifetime, class_lumi, class_ds, alias_recorded, alias_reconstructed, alias_accepted, alias_l0b_rate, alias_lifetime, alias_lumi_recorded, alias_lumi_reconstructed
260691, 5274, 1940, 280, 280, 2, 10100, 0.0246179, 537048, 2.15902e+09, 72322.4, 0, 0, 0, 0, 0, 0, 0, 0, 0.00150727, 109.009, 0.00250006, 0, 0, 0, 0, 0, 0, 0
260693, 5274, 1940, 280, 280, 2, 3546, 0.0258457, 563832, 7.9562e+08, 26658, 0, 0, 0, 0, 0, 0, 0, 0, 0.000566285, 15.096, 0.000750065, 0, 0, 0, 0, 0, 0, 0
260695, 5274, 1940, 280, 280, 2, 3887, 0.0252957, 551833, 8.53664e+08, 28599.7, 0, 0, 0, 0, 0, 0, 0, 0, 0.000569995, 16.3017, 0.000750065, 0, 0, 0, 0, 0, 0, 0
260700, 5274, 1940, 280, 280, 2, 4692, 0.0251013, 547592, 1.02258e+09, 34257.3, 0, 0, 0, 0, 0, 0, 0, 0, 0.000609045, 20.8643, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260704, 5274, 1940, 280, 280, 2, 2687, 0.0259906, 566993, 6.06248e+08, 20313.5, 0, 0, 0, 0, 0, 0, 0, 0, 0.000620695, 12.6085, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260710, 5274, 1940, 280, 280, 2, 5730, 0.0258711, 564386, 1.2869e+09, 43119.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.00049549, 21.3651, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260713, 5274, 1940, 280, 280, 2, 1325, 0.0249957, 545289, 2.87563e+08, 9633.44, 0, 0, 0, 0, 0, 0, 0, 0, 0.000585083, 5.63636, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260719, 5274, 1940, 280, 280, 2, 1357, 0.0245464, 535486, 2.8924e+08, 9688.73, 0, 0, 0, 0, 0, 0, 0, 0, 0.000505728, 4.89986, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260722, 5274, 1940, 280, 280, 2, 3137, 0.0244791, 534018, 6.66816e+08, 22336.2, 0, 0, 0, 0, 0, 0, 0, 0, 0.000504256, 11.2632, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260723, 5274, 1940, 280, 280, 2, 1528, 0.0254149, 554435, 3.37154e+08, 11295.7, 0, 0, 0, 0, 0, 0, 0, 0, 0.000500685, 5.65558, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260727, 5274, 1940, 280, 280, 2, 12833, 0.0248539, 542196, 2.76941e+09, 92773.3, 0, 0, 0, 0, 0, 0, 0, 0, 0.000510723, 47.3814, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260728, 5274, 1940, 280, 280, 2, 1197, 0.0148671, 324330, 1.54828e+08, 5176.3, 0, 0, 0, 0, 0, 0, 0, 0, 0.000508552, 2.63242, 0.000720024, 0, 0, 0, 0, 0, 0, 0
260740, 5275, 1940, 280, 280, 2, 3738, 0.0257898, 562612, 8.36893e+08, 28040.6, 0, 0, 0, 0, 0, 0, 0, 0, 0.000501936, 14.0746, 0.000720024, 0, 0, 0, 0, 0, 0, 0
